#;Categoría;Título;SKU;Precio;Stock
1;"Cámaras";"Cámara de Alcance Runcam 2 – 4K";RR0040;400500;10
2;"Cargadores > De marcadora";"Mag PTS 150 Rondas para M4 y M16 Negro";RR0098;52500;1
3;"Cargadores > De marcadora";"Mag KWA MP9";RR0102;198000;2
4;"Cargadores > Speedloaders";"Cargadora de Velocidad WoSport 1000R";RR0027;49500;6
5;"Comunicaciones > Headsets y PTT";"ZTAC – Comtac II Headset Sordinas 044 GEN6";RR0043;297000;10
6;"Comunicaciones > Radios";"Radio Baofeng UV-5R";RR0110;43000;6
7;"Equipamiento táctico > Chest rigs";"Chest Rig Profesional";RR0058;195000;5
8;"Equipamiento táctico > Correas";"Correa 2 Puntos Alta Tenacidad";RR0057;26900;6
9;"Equipamiento táctico > Pouches";"5.56 Pistol Triple Mag Pouch Negro IDOgear";RR0094;45000;9
10;"Equipamiento táctico > Pouches";"IDOgear Pouch Single";RR0096;16500;12
11;"Equipamiento táctico > Pouches";"IDOgear Pouch Doble";RR0095;21000;7
12;"Estuches y bolsos";"Estuche Armadillo Impermeable para Fusil de Asalto";RR0045;198000;1
13;"Iluminación";"Linterna Tactica de 1600 lúmenes Compatible con Riel Mlok/Picatinny para Rifle Defentac";RR0090;112500;8
14;"Iluminación";"Linterna de Pistola Recargable 700 lúmenes Cronhawk";RR0081;64800;10
15;"Iluminación";"Linterna Compacta de Pistola 1000 lúmenes Ezaiming";RR0088;57000;8
16;"Iluminación";"Linterna Votatu para Rifle PL50S 1450 lúmenes";RR0113;189000;3
17;"Marcadoras > Pistolas";"Novritsch SSP18";RR0007;570000;10
18;"Marcadoras > Pistolas";"Novritsch SSP28";RR0011;630000;10
19;"Marcadoras > Pistolas";"Taran Tactical Jag Precision Army Armament GBB Hi-Capa JW4 TTI Alpha Combat Master Blowback";RR0119;410000;10
20;"Marcadoras > Pistolas";"Novritsch SSP5";RR0008;682500;3
21;"Marcadoras > Pistolas";"Taran Tactical Jag Precision Army Armament GBB Hi-Capa JW4 TTI Sand Viper CNC Blowback";RR0120;400000;10
22;"Marcadoras > Primarias";"Novritsch - SSG 10 A3 - Rifle de Francotirador";RR0003;1095000;10
23;"Marcadoras > Primarias";"Novritsch - SSR77 A2 (Negro)";RR0001;1245000;1
24;"Marcadoras > Primarias";"Novritsch - SSR 4 Mk 2";RR0002;1065000;10
25;"Marcadoras > Primarias";"Rifle KWA MP9 Gas Submachine Negra";RR0101;795000;2
26;"Munición y gas > BBs";"G&G BBs Verde Tracer 0.25G";RR0028;36750;3
27;"Munición y gas > BBs";"BBs Tracers BLS 1 kg 0.28";RR0068;49500;38
28;"Munición y gas > Gas propelente";"Puff Dino Verde Gas 600ML";RR0030;25000;29
29;"Ópticas y miras";"Mira Red Dot Romeo 5 SIG Sauer";RR0104;140000;24
30;"Ópticas y miras";"Mira de Punto Rojo Armadillo 1X20 mm Romeo5 Negro";RR0054;135000;1
31;"Protección > Antiparras";"Antifog Novritsch";RR0041;151200;10
32;"Protección > Cascos";"Casco Emerson Sf Ultra High Cut";RR0097;163500;11
33;"Protección > Cascos";"Casco PTS Airsoft MTEK Flux (Negro)";RR0042;384000;10
34;"Protección > Chalecos";"Chalecos Varios Colores sin Pouchs";RR0114;160000;9
35;"Protección > Guantes";"Guantes";RR0092;40000;34
36;"Protección > Máscaras";"Máscara Profesional";RR0062;49100;5
37;"Tracers";"Tracer Quadra S Acetech";RR0105;175500;4
38;"Tracers";"Tracer Unit Flare Smoky";RR0021;180000;1
39;"Tracers";"Tracer Bifrost R";RR0019;156000;5
40;"Uniformes";"Emerson Gear – G3 Combat Pants-Upgraded Version ／Multicam";RR0031;226500;10
