Identificador de URL;Nombre;Categorías;Nombre de propiedad 1;Valor de propiedad 1;Nombre de propiedad 2;Valor de propiedad 2;Nombre de propiedad 3;Valor de propiedad 3;Precio;Precio promocional;Peso (kg);Alto (cm);Ancho (cm);Profundidad (cm);Stock;SKU;Código de barras;Mostrar en tienda;Envío sin cargo;Descripción;Tags;Título para SEO;Descripción para SEO;Marca;Producto Físico;MPN (Número de pieza del fabricante);Sexo;Rango de edad;Costo
novritsch-ssr77-a2-negro;Novritsch - SSR77 A2 (Negro);Marcadoras > Primarias;;;;;;;1245000.00;;;;;;1;RR0001;;SI;NO;<p>Réplica bullpup <strong>Novritsch SSR77 A2</strong> del AUG austriaco. Cuerpo de nailon reforzado, unidad de disparo electrónico programable (ETU) y sistema de cambio rápido de muelle.</p><ul><li>Sistema: AEG con ETU</li><li>Configuración: bullpup</li><li>Material: nailon reforzado</li><li>Muelle: intercambiable en campo</li></ul>;Novritsch,Marcadoras;;;;SI;;;;
novritsch-ssr-90-gen-2;Novritsch - SSR 90 Gen 2;Marcadoras > Primarias;;;;;;;1110000.00;;;;;;1;RR0005;;SI;NO;<p>Réplica <strong>Novritsch SSR 90 Gen 2</strong> del P90. Diseño bullpup compacto con cañón de precisión y alta cadencia de fuego. Apto para CQB y distancias medias.</p><ul><li>Sistema: AEG</li><li>Configuración: bullpup PDW</li><li>Cadencia: alta</li></ul>;Novritsch,Marcadoras;;;;SI;;;;
novritsch-ssg-10-a3-rifle-de-francotirador;Novritsch - SSG 10 A3 - Rifle de Francotirador;Marcadoras > Primarias;;;;;;;1095000.00;;;;;;10;RR0003;;SI;NO;<p>Marcadora de francotirador <strong>Novritsch SSG 10 A3</strong>. Culata plegable y ligera con internos de precisión. Diseñada para distancias largas y juego de francotirador.</p><ul><li>Sistema: bolt action / spring</li><li>Culata: plegable y liviana</li><li>Hop-Up: ajustable de precisión</li></ul>;Novritsch,Marcadoras;;;;SI;;;;
ztac-u94-kenwood-113-baofeng;ZTAC – U94 Kenwood 113 – Baofeng;Comunicaciones > Headsets y PTT;;;;;;;75000.00;;;;;;10;RR0044;;SI;NO;<p>PTT U94 de Z-Tactical con conector de 2 pines compatible con radios Kenwood y Baofeng. Permite activar el micrófono sin soltar la marcadora. Clip metálico con recubrimiento de goma para fijar en chaleco o arnés.</p><ul><li>Conector: Kenwood 2 pines</li><li>Material: polímero nylon</li><li>Tipo: PTT estilo U94</li></ul>;Baofeng,ZTAC,Comunicaciones;;;;SI;;;;
ztac-comtac-ii-headset-sordinas-044-gen6;ZTAC – Comtac II Headset Sordinas 044 GEN6;Comunicaciones > Headsets y PTT;;;;;;;297000.00;;;;;;10;RR0043;;SI;NO;<p>Headset <strong>ZTAC Comtac II GEN6</strong> (modelo 044). Sordinas electrónicas con cancelación de ruido pasivo y amplificación de sonido ambiente. Compatible con PTT estándar.</p><ul><li>Sordinas: electrónicas NRR activo/pasivo</li><li>Cancelación de ruido: sí</li><li>Compatibilidad: PTT estándar</li><li>Conexión: 3,5 mm</li></ul>;ZTAC,Comunicaciones;;;;SI;;;;
triple-pouch-idogear;Triple Pouch IDOgear;Equipamiento táctico > Pouches;Color;Negro;;;;;54000.00;;;;;;15;RR0093;;SI;NO;<p>Triple pouch canguro <strong>IDOgear</strong> de nailon de alta calidad. Tres bolsillos para cargadores de 5,56 mm y tres para 9 mm. Sistema MOLLE con drenaje inferior.</p><ul><li>Material: nailon</li><li>Bolsillos: 3×5,56 mm + 3×9 mm</li><li>Sistema: MOLLE</li><li>Drenaje: orificios en la base</li></ul>;IDOgear,Equipamiento táctico;;;;SI;;;;
triple-pouch-idogear;;;Color;Camuflado negro;;;;;54000.00;;;;;;10;RR0093;;;;;;;;;SI;;;;
triple-pouch-idogear;;;Color;Verde;;;;;54000.00;;;;;;5;RR0093;;;;;;;;;SI;;;;
tracer-unit-flare-smoky;Tracer Unit Flare Smoky;Tracers;;;;;;;180000.00;;;;;;1;RR0021;;SI;NO;<p>Unidad trazadora <strong>Eshooter Flare Smoky BT</strong> con control por app Bluetooth. Ofrece 8 modos: destello de boca, trazador, humo y combinaciones. Incluye cronógrafo integrado.</p><ul><li>Modos: 8 (trazador, flash, humo y combinados)</li><li>Control: app Bluetooth</li><li>Cronógrafo: sí</li><li>Peso: 105 g</li><li>Longitud: 126 mm</li></ul>;Tracers;;;ESHOOTER;SI;;;;
tracer-quadra-s-acetech;Tracer Quadra S Acetech;Tracers;;;;;;;175500.00;;;;;;4;RR0105;;SI;NO;<p>Unidad trazadora <strong>Acetech Quadra S</strong>. Trazadora de alta sensibilidad con cuatro canales LED. Recargable, compatible con BBs trazadoras estándar.</p><ul><li>Sistema: LED multicanalé</li><li>Recarga: USB</li><li>Calibre: 6 mm BB</li></ul>;Acetech,Tracers;;;Acetech;SI;;;;
